"","det","tod","doy","obs","intensity"
"124","10001110........",367,172,"CGRAY",8
"125","11111100000.....",403,181,"CGRAY",11
"126","10101...........",335,152,"BWOID",5
"127","000000..........",358,152,"KMERE",6
"128","0000000.........",454,170,"BRAMI",7
"129","1111............",336,171,"BRAMI",4
"130","0000............",362,188,"BIREK",4
"131","1100000000......",384,150,"KMERE",10
"132","0000000.........",371,151,"KMERE",7
"133","01000100100.....",415,151,"BRAMI",11
"134","1111100000......",436,122,"RJOHN",10
"135","000000000000....",417,125,"BRAMI",12
"136","000000..........",398,140,"BRAMI",6
"137","000000..........",409,130,"RJOHN",6
"138","111101000000....",441,125,"SMUSG",12
"139","0000............",380,137,"BRAMI",4
"140","000000..........",490,124,"JGORG",6
"141","0100............",517,145,"JGORG",4
"142","00000000........",404,125,"JEDEL",8
"143","0000000000......",419,138,"BRAMI",10
"144","1111010111......",421,125,"RJOHN",10
"145","000000000.......",576,139,"RJOHN",9
"146","0000000000000000",438,140,"RARAC",16
"147","110111111110....",439,141,"RARAC",12
"148","1111111011111110",426,130,"BRAMI",16
"149","0000000000......",478,119,"RJOHN",10
"150","111101010001....",446,123,"KMITC",12
"151","11111010........",414,136,"RARAC",8
"152","0110010001000...",454,122,"SMUSG",13
"153","0011111111111111",419,141,"JGORG",16
"154","11101111........",387,143,"SMUSG",8
"155","0000000000000000",490,117,"TGORM",16
"156","11110...........",449,136,"JGORG",5
"157","000000001.......",428,123,"SMUSG",9
"158","000000..........",377,129,"BRAMI",6
"159","1011............",362,133,"JGORG",4
